office,district,town,ward,precinct,name,party,votes
US Senate,,Holden,-,3,Elizabeth A. Warren,Democratic,907
US Senate,,Holden,-,3,Geoff Diehl,Republican,763
US Senate,,Holden,-,3,Shiva Ayyadurai,Unenrolled,67
US Senate,,Holden,-,3,Blanks,Blanks,30
US Senate,,Holden,-,3,All Others,All Others,3
US Senate,,Holden,-,4,Total Votes Cast,Total Votes Cast,2106
US Senate,,Holden,-,4,Elizabeth A. Warren,Democratic,1005
US Senate,,Holden,-,4,Geoff Diehl,Republican,989
US Senate,,Holden,-,4,Shiva Ayyadurai,Unenrolled,86
US Senate,,Holden,-,4,Blanks,Blanks,25
US Senate,,Holden,-,4,All Others,All Others,1
US Senate,,Holden,-,5,Total Votes Cast,Total Votes Cast,2043
US Senate,,Holden,-,5,Elizabeth A. Warren,Democratic,982
US Senate,,Holden,-,5,Geoff Diehl,Republican,946
US Senate,,Holden,-,5,Shiva Ayyadurai,Unenrolled,81
US Senate,,Holden,-,5,Blanks,Blanks,32
US Senate,,Holden,-,5,All Others,All Others,2
US Senate,,Holland,-,1,Total Votes Cast,Total Votes Cast,1151
US Senate,,Holland,-,1,Geoff Diehl,Republican,607
US Senate,,Holland,-,1,Elizabeth A. Warren,Democratic,461
US Senate,,Holland,-,1,Shiva Ayyadurai,Unenrolled,60
US Senate,,Holland,-,1,Blanks,Blanks,21
US Senate,,Holland,-,1,All Others,All Others,2
US Senate,,Holliston,-,1,Total Votes Cast,Total Votes Cast,2102
US Senate,,Holliston,-,1,Elizabeth A. Warren,Democratic,1225
US Senate,,Holliston,-,1,Geoff Diehl,Republican,786
US Senate,,Holliston,-,1,Shiva Ayyadurai,Unenrolled,58
US Senate,,Holliston,-,1,Blanks,Blanks,28
US Senate,,Holliston,-,1,All Others,All Others,5
US Senate,,Holliston,-,2,Total Votes Cast,Total Votes Cast,1960
US Senate,,Holliston,-,2,Elizabeth A. Warren,Democratic,1224
US Senate,,Holliston,-,2,Geoff Diehl,Republican,629
US Senate,,Holliston,-,2,Shiva Ayyadurai,Unenrolled,72
US Senate,,Holliston,-,2,Blanks,Blanks,35
US Senate,,Holliston,-,2,All Others,All Others,0
US Senate,,Holliston,-,3,Total Votes Cast,Total Votes Cast,1793
US Senate,,Holliston,-,3,Elizabeth A. Warren,Democratic,1141
US Senate,,Holliston,-,3,Geoff Diehl,Republican,571
US Senate,,Holliston,-,3,Shiva Ayyadurai,Unenrolled,56
US Senate,,Holliston,-,3,Blanks,Blanks,24
US Senate,,Holliston,-,3,All Others,All Others,1
US Senate,,Holliston,-,4,Total Votes Cast,Total Votes Cast,1740
US Senate,,Holliston,-,4,Elizabeth A. Warren,Democratic,1019
US Senate,,Holliston,-,4,Geoff Diehl,Republican,630
US Senate,,Holliston,-,4,Shiva Ayyadurai,Unenrolled,67
US Senate,,Holliston,-,4,Blanks,Blanks,21
US Senate,,Holliston,-,4,All Others,All Others,3
US Senate,,Holyoke,1,A,Total Votes Cast,Total Votes Cast,502
US Senate,,Holyoke,1,A,Elizabeth A. Warren,Democratic,413
US Senate,,Holyoke,1,A,Geoff Diehl,Republican,64
US Senate,,Holyoke,1,A,Shiva Ayyadurai,Unenrolled,13
US Senate,,Holyoke,1,A,Blanks,Blanks,11
US Senate,,Holyoke,1,A,All Others,All Others,1
US Senate,,Holyoke,1,B,Total Votes Cast,Total Votes Cast,583
US Senate,,Holyoke,1,B,Elizabeth A. Warren,Democratic,496
US Senate,,Holyoke,1,B,Geoff Diehl,Republican,66
US Senate,,Holyoke,1,B,Shiva Ayyadurai,Unenrolled,12
US Senate,,Holyoke,1,B,Blanks,Blanks,9
US Senate,,Holyoke,1,B,All Others,All Others,0
US Senate,,Holyoke,2,A,Total Votes Cast,Total Votes Cast,525
US Senate,,Holyoke,2,A,Elizabeth A. Warren,Democratic,398
US Senate,,Holyoke,2,A,Geoff Diehl,Republican,100
US Senate,,Holyoke,2,A,Blanks,Blanks,14
US Senate,,Holyoke,2,A,Shiva Ayyadurai,Unenrolled,13
US Senate,,Holyoke,2,A,All Others,All Others,0
US Senate,,Holyoke,2,B,Total Votes Cast,Total Votes Cast,446
US Senate,,Holyoke,2,B,Elizabeth A. Warren,Democratic,374
US Senate,,Holyoke,2,B,Geoff Diehl,Republican,50
US Senate,,Holyoke,2,B,Shiva Ayyadurai,Unenrolled,13
US Senate,,Holyoke,2,B,Blanks,Blanks,9
US Senate,,Holyoke,2,B,All Others,All Others,0
US Senate,,Holyoke,3,A,Total Votes Cast,Total Votes Cast,924
US Senate,,Holyoke,3,A,Elizabeth A. Warren,Democratic,673
US Senate,,Holyoke,3,A,Geoff Diehl,Republican,202
US Senate,,Holyoke,3,A,Shiva Ayyadurai,Unenrolled,29
US Senate,,Holyoke,3,A,Blanks,Blanks,20
US Senate,,Holyoke,3,A,All Others,All Others,0
US Senate,,Holyoke,3,B,Total Votes Cast,Total Votes Cast,1209
US Senate,,Holyoke,3,B,Elizabeth A. Warren,Democratic,736
US Senate,,Holyoke,3,B,Geoff Diehl,Republican,391
US Senate,,Holyoke,3,B,Shiva Ayyadurai,Unenrolled,52
US Senate,,Holyoke,3,B,Blanks,Blanks,30
US Senate,,Holyoke,3,B,All Others,All Others,0
US Senate,,Holyoke,4,A,Total Votes Cast,Total Votes Cast,447
US Senate,,Holyoke,4,A,Elizabeth A. Warren,Democratic,367
US Senate,,Holyoke,4,A,Geoff Diehl,Republican,56
US Senate,,Holyoke,4,A,Shiva Ayyadurai,Unenrolled,14
US Senate,,Holyoke,4,A,Blanks,Blanks,10
US Senate,,Holyoke,4,A,All Others,All Others,0
US Senate,,Holyoke,4,B,Total Votes Cast,Total Votes Cast,763
US Senate,,Holyoke,4,B,Elizabeth A. Warren,Democratic,609
US Senate,,Holyoke,4,B,Geoff Diehl,Republican,107
US Senate,,Holyoke,4,B,Shiva Ayyadurai,Unenrolled,27
US Senate,,Holyoke,4,B,Blanks,Blanks,20
US Senate,,Holyoke,4,B,All Others,All Others,0
US Senate,,Holyoke,5,A,Total Votes Cast,Total Votes Cast,1555
US Senate,,Holyoke,5,A,Elizabeth A. Warren,Democratic,793
US Senate,,Holyoke,5,A,Geoff Diehl,Republican,675
US Senate,,Holyoke,5,A,Shiva Ayyadurai,Unenrolled,52
US Senate,,Holyoke,5,A,Blanks,Blanks,35
US Senate,,Holyoke,5,A,All Others,All Others,0
US Senate,,Holyoke,5,B,Total Votes Cast,Total Votes Cast,952
US Senate,,Holyoke,5,B,Elizabeth A. Warren,Democratic,599
US Senate,,Holyoke,5,B,Geoff Diehl,Republican,311
US Senate,,Holyoke,5,B,Shiva Ayyadurai,Unenrolled,31
US Senate,,Holyoke,5,B,Blanks,Blanks,11
US Senate,,Holyoke,5,B,All Others,All Others,0
US Senate,,Holyoke,6,A,Total Votes Cast,Total Votes Cast,754
US Senate,,Holyoke,6,A,Elizabeth A. Warren,Democratic,525
US Senate,,Holyoke,6,A,Geoff Diehl,Republican,176
US Senate,,Holyoke,6,A,Shiva Ayyadurai,Unenrolled,34
US Senate,,Holyoke,6,A,Blanks,Blanks,19
US Senate,,Holyoke,6,A,All Others,All Others,0
US Senate,,Holyoke,6,B,Total Votes Cast,Total Votes Cast,1034
US Senate,,Holyoke,6,B,Elizabeth A. Warren,Democratic,708
US Senate,,Holyoke,6,B,Geoff Diehl,Republican,255
US Senate,,Holyoke,6,B,Shiva Ayyadurai,Unenrolled,45
US Senate,,Holyoke,6,B,Blanks,Blanks,25
US Senate,,Holyoke,6,B,All Others,All Others,1
US Senate,,Holyoke,7,A,Total Votes Cast,Total Votes Cast,1493
US Senate,,Holyoke,7,A,Elizabeth A. Warren,Democratic,897
US Senate,,Holyoke,7,A,Geoff Diehl,Republican,519
US Senate,,Holyoke,7,A,Shiva Ayyadurai,Unenrolled,52
US Senate,,Holyoke,7,A,Blanks,Blanks,24
US Senate,,Holyoke,7,A,All Others,All Others,1
US Senate,,Holyoke,7,B,Total Votes Cast,Total Votes Cast,1264
US Senate,,Holyoke,7,B,Elizabeth A. Warren,Democratic,900
US Senate,,Holyoke,7,B,Geoff Diehl,Republican,309
US Senate,,Holyoke,7,B,Shiva Ayyadurai,Unenrolled,38
US Senate,,Holyoke,7,B,Blanks,Blanks,17
US Senate,,Holyoke,7,B,All Others,All Others,0
US Senate,,Hopedale,-,1,Total Votes Cast,Total Votes Cast,2885
US Senate,,Hopedale,-,1,Elizabeth A. Warren,Democratic,1428
US Senate,,Hopedale,-,1,Geoff Diehl,Republican,1305
US Senate,,Hopedale,-,1,Shiva Ayyadurai,Unenrolled,89
US Senate,,Hopedale,-,1,Blanks,Blanks,58
US Senate,,Hopedale,-,1,All Others,All Others,5
US Senate,,Hopkinton,-,1,Total Votes Cast,Total Votes Cast,2218
US Senate,,Hopkinton,-,1,Elizabeth A. Warren,Democratic,1316
US Senate,,Hopkinton,-,1,Geoff Diehl,Republican,793
US Senate,,Hopkinton,-,1,Shiva Ayyadurai,Unenrolled,71
US Senate,,Hopkinton,-,1,Blanks,Blanks,36
US Senate,,Hopkinton,-,1,All Others,All Others,2
US Senate,,Hopkinton,-,2,Total Votes Cast,Total Votes Cast,1952
US Senate,,Hopkinton,-,2,Elizabeth A. Warren,Democratic,1069
US Senate,,Hopkinton,-,2,Geoff Diehl,Republican,791
US Senate,,Hopkinton,-,2,Shiva Ayyadurai,Unenrolled,60
US Senate,,Hopkinton,-,2,Blanks,Blanks,28
US Senate,,Hopkinton,-,2,All Others,All Others,4
US Senate,,Hopkinton,-,3,Total Votes Cast,Total Votes Cast,1940
US Senate,,Hopkinton,-,3,Elizabeth A. Warren,Democratic,1057
US Senate,,Hopkinton,-,3,Geoff Diehl,Republican,797
US Senate,,Hopkinton,-,3,Shiva Ayyadurai,Unenrolled,54
US Senate,,Hopkinton,-,3,Blanks,Blanks,30
US Senate,,Hopkinton,-,3,All Others,All Others,2
US Senate,,Hopkinton,-,4,Total Votes Cast,Total Votes Cast,1901
US Senate,,Hopkinton,-,4,Elizabeth A. Warren,Democratic,1094
US Senate,,Hopkinton,-,4,Geoff Diehl,Republican,734
US Senate,,Hopkinton,-,4,Shiva Ayyadurai,Unenrolled,46
US Senate,,Hopkinton,-,4,Blanks,Blanks,23
US Senate,,Hopkinton,-,4,All Others,All Others,4
US Senate,,Hubbardston,-,1,Total Votes Cast,Total Votes Cast,2291
US Senate,,Hubbardston,-,1,Geoff Diehl,Republican,1228
US Senate,,Hubbardston,-,1,Elizabeth A. Warren,Democratic,906
US Senate,,Hubbardston,-,1,Shiva Ayyadurai,Unenrolled,114
US Senate,,Hubbardston,-,1,Blanks,Blanks,41
US Senate,,Hubbardston,-,1,All Others,All Others,2
US Senate,,Hudson,-,1,Total Votes Cast,Total Votes Cast,1351
US Senate,,Hudson,-,1,Elizabeth A. Warren,Democratic,746
US Senate,,Hudson,-,1,Geoff Diehl,Republican,542
US Senate,,Hudson,-,1,Shiva Ayyadurai,Unenrolled,44
US Senate,,Hudson,-,1,Blanks,Blanks,17
US Senate,,Hudson,-,1,All Others,All Others,2
US Senate,,Hudson,-,2,Total Votes Cast,Total Votes Cast,1047
US Senate,,Hudson,-,2,Elizabeth A. Warren,Democratic,623
US Senate,,Hudson,-,2,Geoff Diehl,Republican,364
US Senate,,Hudson,-,2,Shiva Ayyadurai,Unenrolled,44
US Senate,,Hudson,-,2,Blanks,Blanks,15
US Senate,,Hudson,-,2,All Others,All Others,1
US Senate,,Hudson,-,3,Total Votes Cast,Total Votes Cast,1379
US Senate,,Hudson,-,3,Elizabeth A. Warren,Democratic,691
US Senate,,Hudson,-,3,Geoff Diehl,Republican,620
US Senate,,Hudson,-,3,Shiva Ayyadurai,Unenrolled,44
US Senate,,Hudson,-,3,Blanks,Blanks,24
US Senate,,Hudson,-,3,All Others,All Others,0
US Senate,,Hudson,-,4,Total Votes Cast,Total Votes Cast,1465
US Senate,,Hudson,-,4,Elizabeth A. Warren,Democratic,792
US Senate,,Hudson,-,4,Geoff Diehl,Republican,605
US Senate,,Hudson,-,4,Shiva Ayyadurai,Unenrolled,44
US Senate,,Hudson,-,4,Blanks,Blanks,23
US Senate,,Hudson,-,4,All Others,All Others,1
US Senate,,Hudson,-,5,Total Votes Cast,Total Votes Cast,1709
US Senate,,Hudson,-,5,Elizabeth A. Warren,Democratic,985
US Senate,,Hudson,-,5,Geoff Diehl,Republican,657
US Senate,,Hudson,-,5,Shiva Ayyadurai,Unenrolled,55
US Senate,,Hudson,-,5,Blanks,Blanks,11
US Senate,,Hudson,-,5,All Others,All Others,1
US Senate,,Hudson,-,6,Total Votes Cast,Total Votes Cast,975
US Senate,,Hudson,-,6,Elizabeth A. Warren,Democratic,579
US Senate,,Hudson,-,6,Geoff Diehl,Republican,340
US Senate,,Hudson,-,6,Shiva Ayyadurai,Unenrolled,46
US Senate,,Hudson,-,6,Blanks,Blanks,10
US Senate,,Hudson,-,6,All Others,All Others,0
US Senate,,Hudson,-,7,Total Votes Cast,Total Votes Cast,1016
US Senate,,Hudson,-,7,Elizabeth A. Warren,Democratic,620
US Senate,,Hudson,-,7,Geoff Diehl,Republican,324
US Senate,,Hudson,-,7,Shiva Ayyadurai,Unenrolled,54
US Senate,,Hudson,-,7,Blanks,Blanks,18
US Senate,,Hudson,-,7,All Others,All Others,0
US Senate,,Hull,-,1,Total Votes Cast,Total Votes Cast,1858
US Senate,,Hull,-,1,Elizabeth A. Warren,Democratic,1093
US Senate,,Hull,-,1,Geoff Diehl,Republican,687
US Senate,,Hull,-,1,Shiva Ayyadurai,Unenrolled,51
US Senate,,Hull,-,1,Blanks,Blanks,27
US Senate,,Hull,-,1,All Others,All Others,0
US Senate,,Hull,-,2,Total Votes Cast,Total Votes Cast,1595
US Senate,,Hull,-,2,Elizabeth A. Warren,Democratic,854
US Senate,,Hull,-,2,Geoff Diehl,Republican,651
US Senate,,Hull,-,2,Shiva Ayyadurai,Unenrolled,59
US Senate,,Hull,-,2,Blanks,Blanks,31
US Senate,,Hull,-,2,All Others,All Others,0
US Senate,,Hull,-,3,Total Votes Cast,Total Votes Cast,2029
US Senate,,Hull,-,3,Elizabeth A. Warren,Democratic,1110
US Senate,,Hull,-,3,Geoff Diehl,Republican,834
US Senate,,Hull,-,3,Shiva Ayyadurai,Unenrolled,55
US Senate,,Hull,-,3,Blanks,Blanks,29
US Senate,,Hull,-,3,All Others,All Others,1
US Senate,,Huntington,-,1,Total Votes Cast,Total Votes Cast,952
US Senate,,Huntington,-,1,Geoff Diehl,Republican,453
US Senate,,Huntington,-,1,Elizabeth A. Warren,Democratic,439
US Senate,,Huntington,-,1,Shiva Ayyadurai,Unenrolled,45
US Senate,,Huntington,-,1,Blanks,Blanks,15
US Senate,,Huntington,-,1,All Others,All Others,0
US Senate,,Ipswich,-,1,Total Votes Cast,Total Votes Cast,1893
US Senate,,Ipswich,-,1,Elizabeth A. Warren,Democratic,1207
US Senate,,Ipswich,-,1,Geoff Diehl,Republican,582
US Senate,,Ipswich,-,1,Shiva Ayyadurai,Unenrolled,67
US Senate,,Ipswich,-,1,Blanks,Blanks,37
US Senate,,Ipswich,-,1,All Others,All Others,0
US Senate,,Ipswich,-,2,Total Votes Cast,Total Votes Cast,2091
US Senate,,Ipswich,-,2,Elizabeth A. Warren,Democratic,1165
US Senate,,Ipswich,-,2,Geoff Diehl,Republican,805
US Senate,,Ipswich,-,2,Shiva Ayyadurai,Unenrolled,81
US Senate,,Ipswich,-,2,Blanks,Blanks,40
US Senate,,Ipswich,-,2,All Others,All Others,0
US Senate,,Ipswich,-,3,Total Votes Cast,Total Votes Cast,1868
US Senate,,Ipswich,-,3,Elizabeth A. Warren,Democratic,909
US Senate,,Ipswich,-,3,Geoff Diehl,Republican,843
US Senate,,Ipswich,-,3,Shiva Ayyadurai,Unenrolled,65
US Senate,,Ipswich,-,3,Blanks,Blanks,51
US Senate,,Ipswich,-,3,All Others,All Others,0
US Senate,,Ipswich,-,4,Total Votes Cast,Total Votes Cast,1966
US Senate,,Ipswich,-,4,Elizabeth A. Warren,Democratic,1036
US Senate,,Ipswich,-,4,Geoff Diehl,Republican,797
US Senate,,Ipswich,-,4,Shiva Ayyadurai,Unenrolled,74
US Senate,,Ipswich,-,4,Blanks,Blanks,59
US Senate,,Ipswich,-,4,All Others,All Others,0
US Senate,,Kingston,-,1,Total Votes Cast,Total Votes Cast,1530
US Senate,,Kingston,-,1,Geoff Diehl,Republican,750
US Senate,,Kingston,-,1,Elizabeth A. Warren,Democratic,699
US Senate,,Kingston,-,1,Shiva Ayyadurai,Unenrolled,58
US Senate,,Kingston,-,1,Blanks,Blanks,22
US Senate,,Kingston,-,1,All Others,All Others,1
US Senate,,Kingston,-,2,Total Votes Cast,Total Votes Cast,1768
US Senate,,Kingston,-,2,Geoff Diehl,Republican,950
US Senate,,Kingston,-,2,Elizabeth A. Warren,Democratic,747
US Senate,,Kingston,-,2,Shiva Ayyadurai,Unenrolled,48
US Senate,,Kingston,-,2,Blanks,Blanks,20
US Senate,,Kingston,-,2,All Others,All Others,3
US Senate,,Kingston,-,3,Total Votes Cast,Total Votes Cast,1744
US Senate,,Kingston,-,3,Geoff Diehl,Republican,939
US Senate,,Kingston,-,3,Elizabeth A. Warren,Democratic,710
US Senate,,Kingston,-,3,Shiva Ayyadurai,Unenrolled,61
US Senate,,Kingston,-,3,Blanks,Blanks,33
US Senate,,Kingston,-,3,All Others,All Others,1
US Senate,,Kingston,-,4,Total Votes Cast,Total Votes Cast,1468
US Senate,,Kingston,-,4,Geoff Diehl,Republican,730
US Senate,,Kingston,-,4,Elizabeth A. Warren,Democratic,663
US Senate,,Kingston,-,4,Shiva Ayyadurai,Unenrolled,47
US Senate,,Kingston,-,4,Blanks,Blanks,27
US Senate,,Kingston,-,4,All Others,All Others,1
US Senate,,Lakeville,-,1,Total Votes Cast,Total Votes Cast,1727
US Senate,,Lakeville,-,1,Geoff Diehl,Republican,1000
US Senate,,Lakeville,-,1,Elizabeth A. Warren,Democratic,640
US Senate,,Lakeville,-,1,Shiva Ayyadurai,Unenrolled,51
US Senate,,Lakeville,-,1,Blanks,Blanks,35
US Senate,,Lakeville,-,1,All Others,All Others,1
US Senate,,Lakeville,-,2,Total Votes Cast,Total Votes Cast,1765
US Senate,,Lakeville,-,2,Geoff Diehl,Republican,1047
US Senate,,Lakeville,-,2,Elizabeth A. Warren,Democratic,629
US Senate,,Lakeville,-,2,Shiva Ayyadurai,Unenrolled,56
US Senate,,Lakeville,-,2,Blanks,Blanks,33
US Senate,,Lakeville,-,2,All Others,All Others,0
US Senate,,Lakeville,-,3,Total Votes Cast,Total Votes Cast,1954
US Senate,,Lakeville,-,3,Geoff Diehl,Republican,1131
US Senate,,Lakeville,-,3,Elizabeth A. Warren,Democratic,750
US Senate,,Lakeville,-,3,Shiva Ayyadurai,Unenrolled,48
US Senate,,Lakeville,-,3,Blanks,Blanks,23
US Senate,,Lakeville,-,3,All Others,All Others,2
US Senate,,Lancaster,-,1,Total Votes Cast,Total Votes Cast,1608
US Senate,,Lancaster,-,1,Geoff Diehl,Republican,753
US Senate,,Lancaster,-,1,Elizabeth A. Warren,Democratic,750
US Senate,,Lancaster,-,1,Shiva Ayyadurai,Unenrolled,81
US Senate,,Lancaster,-,1,Blanks,Blanks,22
US Senate,,Lancaster,-,1,All Others,All Others,2
US Senate,,Lancaster,-,2,Total Votes Cast,Total Votes Cast,1776
US Senate,,Lancaster,-,2,Geoff Diehl,Republican,853
US Senate,,Lancaster,-,2,Elizabeth A. Warren,Democratic,831
US Senate,,Lancaster,-,2,Shiva Ayyadurai,Unenrolled,58
US Senate,,Lancaster,-,2,Blanks,Blanks,34
US Senate,,Lancaster,-,2,All Others,All Others,0
US Senate,,Lanesborough,-,1,Total Votes Cast,Total Votes Cast,1438
US Senate,,Lanesborough,-,1,Elizabeth A. Warren,Democratic,879
US Senate,,Lanesborough,-,1,Geoff Diehl,Republican,477
US Senate,,Lanesborough,-,1,Shiva Ayyadurai,Unenrolled,46
US Senate,,Lanesborough,-,1,Blanks,Blanks,34
US Senate,,Lanesborough,-,1,All Others,All Others,2
US Senate,,Lawrence,A,1,Total Votes Cast,Total Votes Cast,718
US Senate,,Lawrence,A,1,Elizabeth A. Warren,Democratic,567
US Senate,,Lawrence,A,1,Geoff Diehl,Republican,121
US Senate,,Lawrence,A,1,Shiva Ayyadurai,Unenrolled,15
US Senate,,Lawrence,A,1,Blanks,Blanks,13
US Senate,,Lawrence,A,1,All Others,All Others,2
US Senate,,Lawrence,A,2,Total Votes Cast,Total Votes Cast,481
US Senate,,Lawrence,A,2,Elizabeth A. Warren,Democratic,420
US Senate,,Lawrence,A,2,Geoff Diehl,Republican,38
US Senate,,Lawrence,A,2,Blanks,Blanks,13
US Senate,,Lawrence,A,2,Shiva Ayyadurai,Unenrolled,10
US Senate,,Lawrence,A,2,All Others,All Others,0
US Senate,,Lawrence,A,3,Total Votes Cast,Total Votes Cast,654
US Senate,,Lawrence,A,3,Elizabeth A. Warren,Democratic,495
US Senate,,Lawrence,A,3,Geoff Diehl,Republican,130
US Senate,,Lawrence,A,3,Shiva Ayyadurai,Unenrolled,17
US Senate,,Lawrence,A,3,Blanks,Blanks,12
US Senate,,Lawrence,A,3,All Others,All Others,0
US Senate,,Lawrence,A,4,Total Votes Cast,Total Votes Cast,654
US Senate,,Lawrence,A,4,Elizabeth A. Warren,Democratic,543
US Senate,,Lawrence,A,4,Geoff Diehl,Republican,88
US Senate,,Lawrence,A,4,Shiva Ayyadurai,Unenrolled,13
US Senate,,Lawrence,A,4,Blanks,Blanks,10
US Senate,,Lawrence,A,4,All Others,All Others,0
US Senate,,Lawrence,B,1,Total Votes Cast,Total Votes Cast,735
US Senate,,Lawrence,B,1,Elizabeth A. Warren,Democratic,628
US Senate,,Lawrence,B,1,Geoff Diehl,Republican,76
US Senate,,Lawrence,B,1,Blanks,Blanks,17
US Senate,,Lawrence,B,1,Shiva Ayyadurai,Unenrolled,14
US Senate,,Lawrence,B,1,All Others,All Others,0
US Senate,,Lawrence,B,2,Total Votes Cast,Total Votes Cast,509
US Senate,,Lawrence,B,2,Elizabeth A. Warren,Democratic,450
US Senate,,Lawrence,B,2,Geoff Diehl,Republican,41
US Senate,,Lawrence,B,2,Shiva Ayyadurai,Unenrolled,10
US Senate,,Lawrence,B,2,Blanks,Blanks,7
US Senate,,Lawrence,B,2,All Others,All Others,1
US Senate,,Lawrence,B,3,Total Votes Cast,Total Votes Cast,580
US Senate,,Lawrence,B,3,Elizabeth A. Warren,Democratic,472
US Senate,,Lawrence,B,3,Geoff Diehl,Republican,83
US Senate,,Lawrence,B,3,Blanks,Blanks,19
US Senate,,Lawrence,B,3,Shiva Ayyadurai,Unenrolled,6
US Senate,,Lawrence,B,3,All Others,All Others,0
US Senate,,Lawrence,B,4,Total Votes Cast,Total Votes Cast,802
US Senate,,Lawrence,B,4,Elizabeth A. Warren,Democratic,721
US Senate,,Lawrence,B,4,Geoff Diehl,Republican,41
US Senate,,Lawrence,B,4,Blanks,Blanks,30
US Senate,,Lawrence,B,4,Shiva Ayyadurai,Unenrolled,9
US Senate,,Lawrence,B,4,All Others,All Others,1
US Senate,,Lawrence,C,1,Total Votes Cast,Total Votes Cast,493
US Senate,,Lawrence,C,1,Elizabeth A. Warren,Democratic,417
US Senate,,Lawrence,C,1,Geoff Diehl,Republican,59
US Senate,,Lawrence,C,1,Shiva Ayyadurai,Unenrolled,10
US Senate,,Lawrence,C,1,Blanks,Blanks,7
US Senate,,Lawrence,C,1,All Others,All Others,0
US Senate,,Lawrence,C,2,Total Votes Cast,Total Votes Cast,789
US Senate,,Lawrence,C,2,Elizabeth A. Warren,Democratic,602
US Senate,,Lawrence,C,2,Geoff Diehl,Republican,154
US Senate,,Lawrence,C,2,Shiva Ayyadurai,Unenrolled,22
US Senate,,Lawrence,C,2,Blanks,Blanks,9
US Senate,,Lawrence,C,2,All Others,All Others,2
US Senate,,Lawrence,C,3,Total Votes Cast,Total Votes Cast,477
US Senate,,Lawrence,C,3,Elizabeth A. Warren,Democratic,446
US Senate,,Lawrence,C,3,Geoff Diehl,Republican,23
US Senate,,Lawrence,C,3,Blanks,Blanks,6
US Senate,,Lawrence,C,3,All Others,All Others,1
US Senate,,Lawrence,C,3,Shiva Ayyadurai,Unenrolled,1
US Senate,,Lawrence,C,4,Total Votes Cast,Total Votes Cast,630
US Senate,,Lawrence,C,4,Elizabeth A. Warren,Democratic,554
US Senate,,Lawrence,C,4,Geoff Diehl,Republican,44
US Senate,,Lawrence,C,4,Blanks,Blanks,25
US Senate,,Lawrence,C,4,Shiva Ayyadurai,Unenrolled,5
US Senate,,Lawrence,C,4,All Others,All Others,2
US Senate,,Lawrence,D,1,Total Votes Cast,Total Votes Cast,679
US Senate,,Lawrence,D,1,Elizabeth A. Warren,Democratic,537
US Senate,,Lawrence,D,1,Geoff Diehl,Republican,102
US Senate,,Lawrence,D,1,Shiva Ayyadurai,Unenrolled,20
US Senate,,Lawrence,D,1,Blanks,Blanks,19
US Senate,,Lawrence,D,1,All Others,All Others,1
US Senate,,Lawrence,D,2,Total Votes Cast,Total Votes Cast,568
US Senate,,Lawrence,D,2,Elizabeth A. Warren,Democratic,518
US Senate,,Lawrence,D,2,Geoff Diehl,Republican,36
US Senate,,Lawrence,D,2,Shiva Ayyadurai,Unenrolled,8
US Senate,,Lawrence,D,2,Blanks,Blanks,6
US Senate,,Lawrence,D,2,All Others,All Others,0
US Senate,,Lawrence,D,3,Total Votes Cast,Total Votes Cast,473
US Senate,,Lawrence,D,3,Elizabeth A. Warren,Democratic,411
US Senate,,Lawrence,D,3,Geoff Diehl,Republican,38
US Senate,,Lawrence,D,3,Blanks,Blanks,18
US Senate,,Lawrence,D,3,Shiva Ayyadurai,Unenrolled,6
US Senate,,Lawrence,D,3,All Others,All Others,0
US Senate,,Lawrence,D,4,Total Votes Cast,Total Votes Cast,456
US Senate,,Lawrence,D,4,Elizabeth A. Warren,Democratic,396
US Senate,,Lawrence,D,4,Geoff Diehl,Republican,46
US Senate,,Lawrence,D,4,Blanks,Blanks,8
US Senate,,Lawrence,D,4,Shiva Ayyadurai,Unenrolled,6
US Senate,,Lawrence,D,4,All Others,All Others,0
US Senate,,Lawrence,E,1,Total Votes Cast,Total Votes Cast,1109
US Senate,,Lawrence,E,1,Elizabeth A. Warren,Democratic,666
US Senate,,Lawrence,E,1,Geoff Diehl,Republican,377
US Senate,,Lawrence,E,1,Shiva Ayyadurai,Unenrolled,40
US Senate,,Lawrence,E,1,Blanks,Blanks,26
US Senate,,Lawrence,E,1,All Others,All Others,0
US Senate,,Lawrence,E,2,Total Votes Cast,Total Votes Cast,1017
US Senate,,Lawrence,E,2,Elizabeth A. Warren,Democratic,615
US Senate,,Lawrence,E,2,Geoff Diehl,Republican,342
US Senate,,Lawrence,E,2,Shiva Ayyadurai,Unenrolled,43
US Senate,,Lawrence,E,2,Blanks,Blanks,14
US Senate,,Lawrence,E,2,All Others,All Others,3
US Senate,,Lawrence,E,3,Total Votes Cast,Total Votes Cast,584
US Senate,,Lawrence,E,3,Elizabeth A. Warren,Democratic,432
US Senate,,Lawrence,E,3,Geoff Diehl,Republican,115
US Senate,,Lawrence,E,3,Shiva Ayyadurai,Unenrolled,25
US Senate,,Lawrence,E,3,Blanks,Blanks,12
US Senate,,Lawrence,E,3,All Others,All Others,0
US Senate,,Lawrence,E,4,Total Votes Cast,Total Votes Cast,671
US Senate,,Lawrence,E,4,Elizabeth A. Warren,Democratic,542
US Senate,,Lawrence,E,4,Geoff Diehl,Republican,98
US Senate,,Lawrence,E,4,Shiva Ayyadurai,Unenrolled,17
US Senate,,Lawrence,E,4,Blanks,Blanks,13
US Senate,,Lawrence,E,4,All Others,All Others,1
